1,53,44,8,13,0.75,20,21,16,3,5,4,58
1,50,50,8,14,0.62,25,20,15,1,3,3,78
1,44,60,13,20,0.58,42,22,13,2,3,3,76
1,57,99,18,31,0.83,39,25,13,2,2,3,80
1,55,84,15,28,0.81,40,26,13,2,0,2,82
1,62,113,15,32,0.86,44,29,14,0,2,2,91
2,62,205,17,27,0.62,28,25,19,3,7,3,61
2,61,174,21,29,0.81,33,27,15,2,4,3,54
2,79,134,15,23,0.86,31,25,17,1,7,2,61
1,47,110,19,27,0.73,36,26,14,2,0,2,66
1,56,110,22,34,0.89,49,25,16,1,1,2,62
1,56,109,15,27,0.69,49,28,17,2,0,2,60
2,100,175,20,36,1.12,50,28,19,2,0,2,82
1,72,128,23,25,0.95,56,28,19,2,0,2,66
1,62,87,13,21,0.75,29,28,19,2,0,2,53
1,49,58,10,17,0.88,35,28,19,2,0,2,50
1,52,93,11,28,0.76,36,18,14,0,0,2,61
1,63,125,18,31,1,38,27,17,0,7,2,91
1,64,94,10,20,0.82,35,28,22,0,5,2,63
1,42,106,16,21,0.56,39,30,22,4,5,2,70
2,67,159,20,37,0.94,38,26,17,1,1,2,78
1,60,117,10,26,0.72,30,26,17,2,7,2,51
2,109,159,17,29,1.1,39,28,21,3,1,2,61
2,88,102,13,26,0.99,27,29,20,2,7,2,79
2,95,137,15,27,0.97,43,31,20,2,1,2,76
3,151,214,27,35,1.32,52,28,17,0,1,2,74
2,81,147,23,26,0.91,56,26,16,2,1,2,81
1,41,78,19,21,0.62,40,30,21,1,1,2,71
1,41,72,17,24,0.74,29,27,20,1,3,2,58
1,54,97,11,24,0.82,46,28,18,2,1,2,79
3,107,308,16,29,0.68,49,30,20,2,0,2,64
2,75,205,17,28,0.59,55,28,22,1,1,2,79
2,98,231,25,39,0.92,58,26,20,3,3,2,46
3,127,288,27,39,1.04,42,26,22,1,1,2,52
2,98,230,25,38,1.01,55,24,21,5,1,2,46
1,99,89,27,27,0.93,36,28,20,1,1,2,59
1,40,74,17,22,0.9,38,30,22,2,0,2,50
1,46,46,13,16,0.58,56,27,20,2,3,3,78
1,65,84,22,19,0.62,65,28,19,2,3,3,79
2,76,117,18,26,0.83,70,29,19,2,2,3,95
2,102,157,22,33,1.03,76,30,20,2,7,2,63
3,138,197,29,29,1.42,83,31,22,2,0,2,66
4,197,292,26,25,1.62,63,32,23,2,4,2,68
4,163,226,25,24,1.47,66,32,22,2,7,2,73
2,104,158,26,21,1.08,59,32,22,2,7,2,67
2,76,120,28,24,0.91,68,32,21,0,1,2,72
2,83,117,26,26,0.99,66,32,22,2,0,2,70
2,87,123,23,22,0.85,63,31,22,2,1,2,63
2,98,157,33,33,1,68,33,23,0,5,2,64
3,116,207,35,38,1.27,55,33,25,2,2,2,63
5,265,253,18,23,1.73,47,30,23,3,1,3,63
2,109,85,13,20,1.26,29,24,22,3,2,2,60
2,77,74,8,14,0.84,45,28,21,3,1,2,93
